Date,AAPL,AMZN,GOOGL
2016-07-06,92.656105,737.609985,708.969971
2016-07-07,93.053764,736.570007,707.26001
2016-07-08,93.771507,745.809998,717.780029
2016-07-11,94.062469,753.780029,727.200012
2016-07-12,94.489235,748.210022,732.51001
2016-07-13,93.955795,742.630005,729.47998
2016-07-14,95.818039,741.200012,735.799988
2016-07-15,95.808327,735.440002,735.630005
2016-07-18,96.826736,736.070007,753.200012
2016-07-19,96.865532,739.950012,753.409973
2016-07-20,96.952835,745.719971,757.080017
2016-07-21,96.438774,744.429993,754.409973
2016-07-22,95.69194,744.859985,759.280029
2016-07-25,94.411644,739.609985,757.52002
2016-07-26,93.761803,735.590027,757.650024
2016-07-27,99.852882,736.669983,761.969971
2016-07-28,101.201057,752.609985,765.840027
2016-07-29,101.074974,758.809998,791.340027
2016-08-01,102.859612,767.73999,800.940002
2016-08-02,101.336853,760.580017,800.119995
2016-08-03,102.607445,754.640015,798.919983
2016-08-04,103.24131,760.77002,797.25
2016-08-05,104.811317,765.97998,806.929993
2016-08-08,105.679222,766.559998,805.22998
2016-08-09,106.108299,768.309998,807.47998
2016-08-10,105.318413,768.559998,808.48999
2016-08-11,105.250153,771.23999,808.200012
2016-08-12,105.493942,772.559998,807.049988
2016-08-15,106.761665,768.48999,805.960022
2016-08-16,106.664139,764.039978,801.190002
2016-08-17,106.508125,764.630005,805.419983
2016-08-18,106.371605,764.460022,802.75
2016-08-19,106.644638,757.309998,799.650024
2016-08-22,105.81575,759.47998,796.950012
2016-08-23,106.147301,762.450012,796.590027
2016-08-24,105.347672,757.25,793.599976
2016-08-25,104.899086,759.219971,791.299988
2016-08-26,104.284737,769.0,793.219971
2016-08-29,104.167709,771.289978,795.820007
2016-08-30,103.368065,767.580017,791.919983
2016-08-31,103.465584,769.159973,789.849976
2016-09-01,104.079956,770.619995,791.400024
2016-09-02,105.055122,772.440002,796.869995
2016-09-06,105.025856,788.869995,808.02002
2016-09-07,105.669479,784.47998,807.98999
2016-09-08,102.900002,784.059998,802.840027
2016-09-09,100.569328,760.140015,788.47998
2016-09-12,102.821976,771.48999,798.820007
2016-09-13,105.269653,761.01001,788.719971
2016-09-14,108.994804,761.090027,790.460022
2016-09-15,112.700447,769.690002,801.22998
2016-09-16,112.066589,778.52002,797.969971
2016-09-19,110.759865,775.099976,795.390015
2016-09-20,110.750114,780.219971,799.780029
2016-09-21,110.730606,789.73999,805.030029
2016-09-22,111.774048,804.700012,815.950012
2016-09-23,109.911469,805.75,814.960022
2016-09-26,110.077232,799.159973,802.650024
2016-09-27,110.282028,816.109985,810.72998
2016-09-28,111.120674,828.719971,810.059998
2016-09-29,109.394623,829.049988,802.640015
2016-09-30,110.243034,837.309998,804.059998
2016-10-03,109.726181,836.73999,800.380005
2016-10-04,110.194267,834.030029,802.789978
2016-10-05,110.243034,844.359985,801.22998
2016-10-06,111.062172,841.659973,803.080017
2016-10-07,111.227943,839.429993,800.710022
2016-10-10,113.168541,841.710022,814.169983
2016-10-11,113.412331,831.0,809.570007
2016-10-12,114.426506,834.090027,811.77002
2016-10-13,114.075439,829.280029,804.080017
2016-10-14,114.709305,822.960022,804.599976
2016-10-17,114.631294,812.950012,806.840027
2016-10-18,114.553284,817.650024,821.48999
2016-10-19,114.211967,817.690002,826.840027
2016-10-20,114.153458,810.320007,821.630005
2016-10-21,113.704872,818.98999,824.059998
2016-10-24,114.728798,838.090027,835.73999
2016-10-25,115.313919,835.179993,828.549988
2016-10-26,112.719955,822.590027,822.099976
2016-10-27,111.63752,818.359985,817.349976
2016-10-28,110.896393,776.320007,819.559998
2016-10-31,110.720856,789.820007,809.900024
2016-11-01,108.721756,785.409973,805.47998
2016-11-02,108.819275,765.559998,788.419983
2016-11-03,107.652863,767.030029,782.190002
2016-11-04,106.682487,755.049988,781.099976
2016-11-07,108.221382,784.929993,802.030029
2016-11-08,108.858475,787.75,811.97998
2016-11-09,108.68206,771.880005,805.590027
2016-11-10,105.653297,742.380005,780.289978
2016-11-11,106.280617,739.01001,771.75
2016-11-14,103.614532,719.070007,753.219971
2016-11-15,104.986778,743.23999,775.159973
2016-11-16,107.809685,746.48999,779.97998
2016-11-17,107.770485,756.400024,786.159973
2016-11-18,107.878304,760.159973,775.969971
2016-11-21,109.515198,780.0,784.799988
2016-11-22,109.583817,785.330017,785.0
2016-11-23,109.025116,780.119995,779.0
2016-11-25,109.57402,780.369995,780.22998
2016-11-28,109.358376,766.77002,785.789978
2016-11-29,109.250565,762.52002,789.440002
2016-11-30,108.329185,750.570007,775.880005
2016-12-01,107.319603,743.650024,764.330017
2016-12-02,107.721481,740.340027,764.460022
2016-12-05,106.947136,759.359985,778.219971
2016-12-06,107.770485,764.719971,776.179993
2016-12-07,108.829071,770.419983,791.469971
2016-12-08,109.897476,767.330017,795.169983
2016-12-09,111.6912,768.659973,809.450012
2016-12-12,111.054085,760.119995,807.900024
2016-12-13,112.906616,774.340027,815.340027
2016-12-14,112.906616,768.820007,817.890015
2016-12-15,113.524132,761.0,815.650024
2016-12-16,113.671158,757.77002,809.840027
2016-12-19,114.327873,766.0,812.5
2016-12-20,114.631729,771.219971,815.200012
2016-12-21,114.739555,770.599976,812.200012
2016-12-22,113.984818,766.340027,809.679993
2016-12-23,114.210243,760.590027,807.799988
2016-12-27,114.935585,771.400024,809.929993
2016-12-28,114.445503,772.130005,804.570007
2016-12-29,114.416092,765.150024,802.880005
2016-12-30,113.524132,749.869995,792.450012
2017-01-03,113.847588,753.669983,808.01001
2017-01-04,113.720161,757.179993,807.77002
2017-01-05,114.298462,780.450012,813.02002
2017-01-06,115.572708,795.98999,825.210022
2017-01-09,116.631294,796.919983,827.179993
2017-01-10,116.748909,795.900024,826.01001
2017-01-11,117.376228,799.02002,829.859985
2017-01-12,116.886131,813.640015,829.530029
2017-01-13,116.680298,817.140015,830.940002
2017-01-17,117.621269,809.719971,827.460022
2017-01-18,117.611465,807.47998,829.02002
2017-01-19,117.405624,809.039978,824.369995
2017-01-20,117.621269,808.330017,828.169983
2017-01-23,117.699684,817.880005,844.429993
2017-01-24,117.591866,822.440002,849.530029
2017-01-25,119.464005,836.52002,858.450012
2017-01-26,119.52282,839.150024,856.97998
2017-01-27,119.532608,835.77002,845.030029
2017-01-30,119.218948,830.380005,823.830017
2017-01-31,118.944504,823.47998,820.190002
2017-02-01,126.197815,832.349976,815.23999
2017-02-02,125.982178,839.950012,818.26001
2017-02-03,126.521278,810.200012,820.130005
2017-02-06,127.707291,807.640015,821.619995
2017-02-07,128.922714,812.5,829.22998
2017-02-08,129.422623,819.710022,829.880005
2017-02-09,130.357803,821.359985,830.059998
2017-02-10,130.062485,827.460022,834.849976
2017-02-13,131.214249,836.530029,838.960022
2017-02-14,132.917328,836.390015,840.030029
2017-02-15,133.399689,842.700012,837.320007
2017-02-16,133.242172,844.140015,842.169983
2017-02-17,133.60643,845.070007,846.549988
2017-02-21,134.571167,856.440002,849.27002
2017-02-22,134.974762,855.609985,851.359985
2017-02-23,134.403809,852.190002,851.0
2017-02-24,134.531784,845.23999,847.809998
2017-02-27,134.797562,848.640015,849.669983
2017-02-28,134.856659,845.039978,844.929993
2017-03-01,137.613022,853.080017,856.75
2017-03-02,136.795959,848.909973,849.849976
2017-03-03,137.60318,849.880005,849.080017
2017-03-06,137.170044,846.609985,847.27002
2017-03-07,137.347244,846.02002,851.150024
2017-03-08,136.835342,850.5,853.640015
2017-03-09,136.520309,853.0,857.840027
2017-03-10,136.973145,852.460022,861.409973
2017-03-13,137.032211,854.590027,864.580017
2017-03-14,136.825485,852.530029,865.909973
2017-03-15,138.272614,852.969971,868.390015
2017-03-16,138.499008,853.419983,870.0
2017-03-17,137.809906,852.309998,872.369995
2017-03-20,139.257034,856.969971,867.909973
2017-03-21,137.662247,843.200012,850.140015
2017-03-22,139.217636,848.059998,849.799988
2017-03-23,138.725433,847.380005,839.650024
2017-03-24,138.449783,845.609985,835.140015
2017-03-27,138.686066,846.820007,838.51001
2017-03-28,141.560577,856.0,840.630005
2017-03-29,141.875595,874.320007,849.869995
2017-03-30,141.688553,876.340027,849.47998
2017-03-31,141.422775,886.539978,847.799988
2017-04-03,141.462158,891.51001,856.75
2017-04-04,142.515488,906.830017,852.570007
2017-04-05,141.777161,909.280029,848.909973
2017-04-06,141.422775,898.280029,845.099976
2017-04-07,141.107742,894.880005,842.099976
2017-04-10,140.940399,907.039978,841.700012
2017-04-11,139.424393,902.359985,839.880005
2017-04-12,139.591736,896.22998,841.460022
2017-04-13,138.853424,884.669983,840.179993
2017-04-17,139.621262,901.98999,855.130005
2017-04-18,139.001068,903.780029,853.98999
2017-04-19,138.489182,899.200012,856.51001
2017-04-20,140.221756,902.059998,860.080017
2017-04-21,140.054428,898.530029,858.950012
2017-04-24,141.403061,907.409973,878.929993
2017-04-25,142.279205,907.619995,888.840027
2017-04-26,141.442444,909.289978,889.140015
2017-04-27,141.550751,918.380005,891.440002
2017-04-28,141.412903,924.98999,924.52002
2017-05-01,144.297287,948.22998,932.820007
2017-05-02,145.212799,946.940002,937.090027
2017-05-03,144.769821,941.030029,948.450012
2017-05-04,144.248062,937.530029,954.719971
2017-05-05,146.640244,934.150024,950.280029
2017-05-08,150.627151,949.039978,958.690002
2017-05-09,151.591904,952.820007,956.710022
2017-05-10,150.87326,948.950012,954.840027
2017-05-11,152.17807,947.619995,955.890015
2017-05-12,154.303329,961.349976,955.140015
2017-05-15,153.907913,957.969971,959.219971
2017-05-16,153.680573,966.070007,964.609985
2017-05-17,148.52066,944.76001,942.169983
2017-05-18,150.784286,958.48999,950.5
2017-05-19,151.298309,959.840027,954.650024
2017-05-22,152.217606,970.669983,964.070007
2017-05-23,152.0298,971.539978,970.549988
2017-05-24,151.575073,980.349976,977.609985
2017-05-25,152.098969,993.380005,991.859985
2017-05-26,151.84198,995.780029,993.27002
2017-05-30,151.901276,996.700012,996.169983
2017-05-31,151.00177,994.619995,987.090027
2017-06-01,151.416931,995.950012,988.289978
2017-06-02,153.660797,1006.72998,996.119995
2017-06-05,152.158295,1011.340027,1003.880005
2017-06-06,152.672318,1003.0,996.679993
2017-06-07,153.581726,1010.070007,1001.5
2017-06-08,153.2061,1010.27002,1004.280029
2017-06-09,147.265274,978.309998,970.119995
2017-06-12,143.746231,964.909973,961.809998
2017-06-13,144.902771,980.789978,970.5
2017-06-14,143.489243,976.469971,967.929993
2017-06-15,142.629242,964.169983,960.179993
2017-06-16,140.632507,987.710022,958.619995
2017-06-19,144.655655,995.169983,975.219971
2017-06-20,143.340958,992.590027,968.98999
2017-06-21,144.191055,1002.22998,978.590027
2017-06-22,143.953842,1001.299988,976.619995
2017-06-23,144.596344,1003.73999,986.090027
2017-06-26,144.141663,993.97998,972.090027
2017-06-27,142.075699,976.780029,948.090027
2017-06-28,144.15152,990.330017,961.01001
2017-06-29,142.02626,975.929993,937.820007
2017-06-30,142.362366,968.0,929.679993
2017-07-03,141.848343,953.659973,919.460022
2017-07-05,142.431549,971.400024,932.26001
2017-07-06,141.087204,965.140015,927.690002
2017-07-07,142.520508,978.76001,940.809998
2017-07-10,143.390381,996.469971,951.0
2017-07-11,143.854965,994.130005,953.530029
2017-07-12,144.062561,1006.51001,967.659973
2017-07-13,146.069214,1000.630005,968.849976
2017-07-14,147.32457,1001.809998,976.909973
2017-07-17,147.838593,1010.039978,975.960022
2017-07-18,148.352615,1024.449951,986.950012
2017-07-19,149.281799,1026.869995,992.77002
2017-07-20,148.609619,1028.699951,992.190002
2017-07-21,148.540421,1025.670044,993.840027
2017-07-24,150.339478,1038.949951,998.309998
2017-07-25,150.98201,1039.869995,969.030029
2017-07-26,151.69371,1052.800049,965.309998
2017-07-27,148.827087,1046.0,952.51001
2017-07-28,147.779282,1020.039978,958.330017
2017-07-31,147.018143,987.780029,945.5
2017-08-01,148.322952,996.190002,946.559998
2017-08-02,155.33136,995.890015,947.640015
2017-08-03,153.779419,986.919983,940.299988
2017-08-04,154.589981,987.580017,945.789978
2017-08-07,156.982132,992.27002,945.75
2017-08-08,158.237503,989.840027,944.190002
2017-08-09,159.206223,982.01001,940.080017
2017-08-10,154.135223,956.919983,923.590027
2017-08-11,156.278748,967.98999,930.090027
2017-08-14,158.630661,983.299988,938.929993
2017-08-15,160.36731,982.73999,938.080017
2017-08-16,159.72226,978.179993,944.27002
2017-08-17,156.655838,960.570007,927.659973
2017-08-18,156.298584,958.469971,926.179993
2017-08-21,156.010803,953.289978,920.869995
2017-08-22,158.561203,966.900024,940.400024
2017-08-23,158.759674,958.0,942.580017
2017-08-24,158.055084,952.450012,936.890015
2017-08-25,158.640594,945.26001,930.5
2017-08-28,160.238312,946.02002,928.130005
2017-08-29,161.667328,954.059998,935.75
2017-08-30,162.103973,967.590027,943.630005
2017-08-31,162.749008,980.599976,955.23999
2017-09-01,162.798615,978.25,951.98999
2017-09-05,160.843658,965.27002,941.47998
2017-09-06,160.674957,967.799988,942.02002
2017-09-07,160.029892,979.469971,949.890015
2017-09-08,157.419983,965.900024,941.409973
2017-09-11,160.268082,977.960022,943.289978
2017-09-12,159.63295,982.580017,946.650024
2017-09-13,158.432175,999.599976,950.440002
2017-09-14,157.072632,992.210022,940.130005
2017-09-15,158.660431,986.789978,935.289978
2017-09-18,157.459656,974.190002,929.75
2017-09-19,157.519196,969.859985,936.859985
2017-09-20,154.879501,973.210022,947.539978
2017-09-21,152.21994,964.650024,947.549988
2017-09-22,150.731384,955.099976,943.26001
2017-09-25,149.401596,939.789978,934.280029
2017-09-26,151.971832,938.599976,937.429993
2017-09-27,153.053528,950.869995,959.900024
2017-09-28,152.110779,956.400024,964.809998
2017-09-29,152.944366,961.349976,973.719971
